Date,INR
6/16/1980,4690.60
6/17/1980,4646.30
6/18/1980,4732.00
6/19/1980,4691.70
6/20/1980,4742.90
6/23/1980,4662.10
6/24/1980,4710.50
6/25/1980,4889.60
6/26/1980,4877.30
6/27/1980,4937.00
6/30/1980,5150.40
7/1/1980,5102.20
7/2/1980,5235.00
7/3/1980,5198.70
7/4/1980,5193.60
7/7/1980,5107.70
7/8/1980,5353.60
7/9/1980,5271.50
7/10/1980,5165.90
7/11/1980,5147.90
7/14/1980,5031.40
7/15/1980,4828.30
7/16/1980,4856.60
7/17/1980,4883.40
7/18/1980,4742.00
7/21/1980,4803.90
7/22/1980,4726.80
7/23/1980,4891.80
7/24/1980,4894.40
7/25/1980,5038.60
7/28/1980,4958.80
7/29/1980,5038.00
7/30/1980,5002.80
7/31/1980,4813.20
8/1/1980,5014.00
8/4/1980,4846.40
8/5/1980,4892.40
8/6/1980,4851.20
8/7/1980,4913.80
8/8/1980,4902.90
8/11/1980,4769.40
8/12/1980,4762.30
8/13/1980,4776.40
8/14/1980,4830.50
8/15/1980,4845.60
8/18/1980,4719.30
8/19/1980,4847.10
8/20/1980,4846.30
8/21/1980,4981.60
8/22/1980,4966.80
8/25/1980,4966.80
8/26/1980,4871.60
8/27/1980,4884.00
8/28/1980,4915.70
8/29/1980,4903.60
9/1/1980,4823.30
9/2/1980,4860.00
9/3/1980,4905.70
9/4/1980,4905.30
9/5/1980,5000.60
9/8/1980,5073.20
9/9/1980,5233.50
9/10/1980,5306.30
9/11/1980,5212.20
9/12/1980,5343.70
9/15/1980,5196.00
9/16/1980,5192.00
9/17/1980,5239.70
9/18/1980,5228.50
9/19/1980,5231.30
9/22/1980,5375.10
9/23/1980,5587.30
9/24/1980,5513.10
9/25/1980,5467.40
9/26/1980,5413.60
9/29/1980,5326.00
9/30/1980,5211.30
10/1/1980,5267.80
10/2/1980,5249.40
10/3/1980,5202.80
10/6/1980,5185.50
10/7/1980,5265.50
10/8/1980,5223.50
10/9/1980,5274.00
10/10/1980,5276.00
10/13/1980,5255.00
10/14/1980,5211.20
10/15/1980,5230.40
10/16/1980,5188.00
10/17/1980,5145.20
10/20/1980,5075.80
10/21/1980,5027.00
10/22/1980,5079.10
10/23/1980,4986.70
10/24/1980,4856.20
10/27/1980,4893.90
10/28/1980,4869.00
10/29/1980,4954.30
10/30/1980,4955.70
10/31/1980,4911.20
11/3/1980,4864.70
11/4/1980,4977.50
11/5/1980,5045.70
11/6/1980,4903.30
11/7/1980,4644.90
11/10/1980,4787.00
11/11/1980,4656.60
11/12/1980,4723.70
11/13/1980,4737.40
11/14/1980,4764.90
11/17/1980,4712.40
11/18/1980,4615.70
11/19/1980,4912.30
11/20/1980,4930.20
11/21/1980,5008.60
11/24/1980,4993.70
11/25/1980,4795.60
11/26/1980,4882.60
11/27/1980,4844.80
11/28/1980,4871.90
12/1/1980,4990.40
12/2/1980,4945.50
12/3/1980,4945.20
12/4/1980,4988.30
12/5/1980,4893.60
12/8/1980,4846.90
12/9/1980,4841.10
12/10/1980,4691.80
12/11/1980,4572.90
12/12/1980,4366.00
12/15/1980,4588.70
12/16/1980,4444.60
12/17/1980,4530.20
12/18/1980,4575.90
12/19/1980,4423.60
12/22/1980,4692.40
12/23/1980,4742.90
12/24/1980,4739.70
12/25/1980,4739.70
12/26/1980,4739.70
12/29/1980,4759.60
12/30/1980,4609.40
12/31/1980,4620.30
1/1/1981,4620.30
1/2/1981,4648.50
1/5/1981,4604.70
1/6/1981,4705.60
1/7/1981,4647.00
1/8/1981,4540.30
1/9/1981,4603.10
1/12/1981,4471.70
1/13/1981,4507.20
1/14/1981,4461.90
1/15/1981,4494.80
1/16/1981,4474.70
1/19/1981,4421.80
1/20/1981,4444.70
1/21/1981,4561.20
1/22/1981,4532.80
1/23/1981,4401.80
1/26/1981,4197.30
1/27/1981,4154.40
1/28/1981,4187.00
1/29/1981,4063.90
1/30/1981,4123.20
2/2/1981,4025.00
2/3/1981,4034.70
2/4/1981,4071.80
2/5/1981,4040.90
2/6/1981,4112.00
2/9/1981,4180.70
2/10/1981,4217.50
2/11/1981,4111.00
2/12/1981,4056.80
2/13/1981,4018.10
2/16/1981,4006.90
2/17/1981,4096.50
2/18/1981,4120.70
2/19/1981,4118.80
2/20/1981,4219.90
2/23/1981,4218.00
2/24/1981,4167.70
2/25/1981,4204.20
2/26/1981,4100.70
2/27/1981,4082.90
3/2/1981,3895.20
3/3/1981,3807.80
3/4/1981,3919.40
3/5/1981,3756.30
3/6/1981,3814.70
3/9/1981,3847.20
3/10/1981,3938.60
3/11/1981,3885.50
3/12/1981,3895.70
3/13/1981,4043.20
3/16/1981,4041.80
3/17/1981,4077.70
3/18/1981,4166.10
3/19/1981,4060.00
3/20/1981,4209.50
3/23/1981,4381.80
3/24/1981,4355.70
3/25/1981,4391.70
3/26/1981,4424.80
3/27/1981,4544.00
3/30/1981,4350.30
3/31/1981,4240.50
4/1/1981,4269.60
4/2/1981,4291.30
4/3/1981,4351.30
4/6/1981,4433.20
4/7/1981,4330.70
4/8/1981,4168.00
4/9/1981,4214.20
4/10/1981,4061.80
4/13/1981,3910.30
4/14/1981,3993.10
4/15/1981,4009.40
4/16/1981,3967.80
4/17/1981,3967.80
4/20/1981,3967.80
4/21/1981,3986.40
4/22/1981,4061.60
4/23/1981,4029.50
4/24/1981,4063.70
4/27/1981,4019.80
4/28/1981,4020.40
4/29/1981,3975.70
4/30/1981,3998.50
5/1/1981,3997.00
5/4/1981,3997.00
5/5/1981,3964.90
5/6/1981,4010.70
5/7/1981,4003.70
5/8/1981,3999.90
5/11/1981,4166.30
5/12/1981,4077.60
5/13/1981,4106.40
5/14/1981,4061.20
5/15/1981,4078.90
5/18/1981,4023.80
5/19/1981,4091.20
5/20/1981,4035.00
5/21/1981,4079.90
5/22/1981,3956.30
5/25/1981,3956.30
5/26/1981,3976.50
5/27/1981,3980.60
5/28/1981,3990.80
5/29/1981,4046.50
6/1/1981,4080.20
6/2/1981,4063.60
6/3/1981,4103.80
6/4/1981,4083.70
6/5/1981,4023.00
6/8/1981,3972.00
6/9/1981,4030.40
6/10/1981,3978.90
6/11/1981,4014.30
6/12/1981,4020.00
6/15/1981,3986.10
6/16/1981,3974.80
6/17/1981,3930.40
6/18/1981,3946.40
6/19/1981,3922.60
6/22/1981,3930.20
6/23/1981,3962.80
6/24/1981,3983.50
6/25/1981,3963.90
6/26/1981,3847.10
6/29/1981,3779.50
6/30/1981,3703.80
7/1/1981,3723.10
7/2/1981,3621.00
7/3/1981,3641.40
7/6/1981,3513.80
7/7/1981,3550.70
7/8/1981,3553.00
7/9/1981,3610.10
7/10/1981,3666.80
7/13/1981,3695.40
7/14/1981,3596.10
7/15/1981,3590.90
7/16/1981,3697.90
7/17/1981,3651.80
7/20/1981,3684.30
7/21/1981,3666.30
7/22/1981,3635.40
7/23/1981,3687.20
7/24/1981,3628.50
7/27/1981,3655.50
7/28/1981,3585.40
7/29/1981,3598.00
7/30/1981,3596.80
7/31/1981,3655.10
8/3/1981,3581.70
8/4/1981,3597.00
8/5/1981,3563.70
8/6/1981,3607.40
8/7/1981,3651.10
8/10/1981,3608.90
8/11/1981,3641.00
8/12/1981,3671.50
8/13/1981,3688.90
8/14/1981,3716.00
8/17/1981,3669.20
8/18/1981,3799.40
8/19/1981,3891.90
8/20/1981,3832.00
8/21/1981,3784.80
8/24/1981,3838.10
8/25/1981,3714.80
8/26/1981,3694.90
8/27/1981,3728.40
8/28/1981,3820.10
8/31/1981,3820.10
9/1/1981,3818.30
9/2/1981,3883.80
9/3/1981,3915.00
9/4/1981,3961.00
9/7/1981,3984.80
9/8/1981,3995.00
9/9/1981,4015.10
9/10/1981,4037.60
9/11/1981,4134.70
9/14/1981,4189.60
9/15/1981,4055.60
9/16/1981,4036.70
9/17/1981,4154.30
9/18/1981,4050.50
9/21/1981,4141.20
9/22/1981,4200.70
9/23/1981,4219.70
9/24/1981,4158.80
9/25/1981,4173.50
9/28/1981,3907.20
9/29/1981,3956.50
9/30/1981,3870.40
10/1/1981,3940.60
10/2/1981,3946.20
10/5/1981,3978.20
10/6/1981,3977.70
10/7/1981,4015.10
10/8/1981,3948.10
10/9/1981,4101.20
10/12/1981,4125.20
10/13/1981,4073.00
10/14/1981,4061.90
10/15/1981,4093.50
10/16/1981,4031.50
10/19/1981,4033.60
10/20/1981,4064.60
10/21/1981,4026.20
10/22/1981,4012.60
10/23/1981,3993.70
10/26/1981,3983.60
10/27/1981,3923.50
10/28/1981,3928.40
10/29/1981,3834.60
10/30/1981,3876.40
11/2/1981,3923.40
11/3/1981,3909.70
11/4/1981,3939.90
11/5/1981,3933.30
11/6/1981,3925.00
11/9/1981,3908.10
11/10/1981,3896.80
11/11/1981,3757.70
11/12/1981,3721.50
11/13/1981,3754.00
11/16/1981,3707.60
11/17/1981,3621.40
11/18/1981,3630.20
11/19/1981,3648.40
11/20/1981,3669.20
11/23/1981,3613.80
11/24/1981,3604.80
11/25/1981,3695.10
11/26/1981,3717.40
11/27/1981,3710.00
11/30/1981,3815.00
12/1/1981,3727.00
12/2/1981,3698.30
12/3/1981,3842.70
12/4/1981,3870.00
12/7/1981,3831.50
12/8/1981,3835.30
12/9/1981,3721.00
12/10/1981,3748.00
12/11/1981,3890.80
12/14/1981,3828.30
12/15/1981,3736.90
12/16/1981,3776.30
12/17/1981,3776.80
12/18/1981,3765.50
12/21/1981,3812.10
12/22/1981,3692.40
12/23/1981,3667.80
12/24/1981,3678.80
12/25/1981,3678.80
12/28/1981,3678.80
12/29/1981,3612.40
12/30/1981,3598.50
12/31/1981,3625.10
1/1/1982,3625.10
1/4/1982,3620.30
1/5/1982,3656.50
1/6/1982,3656.00
1/7/1982,3610.70
1/8/1982,3629.50
1/11/1982,3615.60
1/12/1982,3573.60
1/13/1982,3559.70
1/14/1982,3391.10
1/15/1982,3439.10
1/18/1982,3343.60
1/19/1982,3426.00
1/20/1982,3394.80
1/21/1982,3433.20
1/22/1982,3458.90
1/25/1982,3422.20
1/26/1982,3395.90
1/27/1982,3492.20
1/28/1982,3474.70
1/29/1982,3546.00
2/1/1982,3501.80
2/2/1982,3433.30
2/3/1982,3465.60
2/4/1982,3492.00
2/5/1982,3544.70
2/8/1982,3482.00
2/9/1982,3466.40
2/10/1982,3498.20
2/11/1982,3476.50
2/12/1982,3485.30
2/15/1982,3451.50
2/16/1982,3469.70
2/17/1982,3473.30
2/18/1982,3379.90
2/19/1982,3396.50
2/22/1982,3324.20
2/23/1982,3339.00
2/24/1982,3359.30
2/25/1982,3396.10
2/26/1982,3373.90
3/1/1982,3322.10
3/2/1982,3366.00
3/3/1982,3295.00
3/4/1982,3198.40
3/5/1982,3129.20
3/8/1982,3116.00
3/9/1982,3019.80
3/10/1982,3079.80
3/11/1982,3091.90
3/12/1982,2994.40
3/15/1982,2915.70
3/16/1982,2983.10
3/17/1982,2908.10
3/18/1982,2986.10
3/19/1982,2945.80
3/22/1982,2952.40
3/23/1982,3036.20
3/24/1982,3092.00
3/25/1982,3054.00
3/26/1982,3003.80
3/29/1982,2976.00
3/30/1982,3034.00
3/31/1982,2987.60
4/1/1982,3036.70
4/2/1982,3047.80
4/5/1982,3154.80
4/6/1982,3268.10
4/7/1982,3324.20
4/8/1982,3278.40
4/9/1982,3278.40
4/12/1982,3278.40
4/13/1982,3293.90
4/14/1982,3436.50
4/15/1982,3394.90
4/16/1982,3408.10
4/19/1982,3334.70
4/20/1982,3244.60
4/21/1982,3239.20
4/22/1982,3229.50
4/23/1982,3248.30
4/26/1982,3347.80
4/27/1982,3278.40
4/28/1982,3333.40
4/29/1982,3262.00
4/30/1982,3322.10
5/3/1982,3320.50
5/4/1982,3197.40
5/5/1982,3159.10
5/6/1982,3089.40
5/7/1982,3100.50
5/10/1982,3024.80
5/11/1982,3025.80
5/12/1982,3064.20
5/13/1982,3066.70
5/14/1982,3075.40
5/17/1982,3131.00
5/18/1982,3164.20
5/19/1982,3212.80
5/20/1982,3213.20
5/21/1982,3193.70
5/24/1982,3090.80
5/25/1982,3035.50
5/26/1982,3088.70
5/27/1982,3027.10
5/28/1982,3072.30
5/31/1982,3072.30
6/1/1982,2994.30
6/2/1982,2948.10
6/3/1982,2996.50
6/4/1982,2968.00
6/7/1982,3012.80
6/8/1982,3105.20
6/9/1982,2994.50
6/10/1982,3099.00
6/11/1982,3057.70
6/14/1982,3053.40
6/15/1982,2980.40
6/16/1982,2999.40
6/17/1982,2984.40
6/18/1982,2931.60
6/21/1982,2830.70
6/22/1982,2857.60
6/23/1982,2858.80
6/24/1982,2943.00
6/25/1982,2900.90
6/28/1982,2890.30
6/29/1982,2961.20
6/30/1982,2971.90
7/1/1982,2968.80
7/2/1982,2995.30
7/5/1982,3034.00
7/6/1982,3010.80
7/7/1982,2944.50
7/8/1982,2995.30
7/9/1982,3078.80
7/12/1982,3215.30
7/13/1982,3252.90
7/14/1982,3387.90
7/15/1982,3337.60
7/16/1982,3311.80
7/19/1982,3343.90
7/20/1982,3279.60
7/21/1982,3417.80
7/22/1982,3405.90
7/23/1982,3427.70
7/26/1982,3377.90
7/27/1982,3344.10
7/28/1982,3306.50
7/29/1982,3243.00
7/30/1982,3265.40
8/2/1982,3347.10
8/3/1982,3381.80
8/4/1982,3341.50
8/5/1982,3355.30
8/6/1982,3329.50
8/9/1982,3243.90
8/10/1982,3228.40
8/11/1982,3195.90
8/12/1982,3201.90
8/13/1982,3237.50
8/16/1982,3205.70
8/17/1982,3230.60
8/18/1982,3351.70
8/19/1982,3396.40
8/20/1982,3613.10
8/23/1982,3608.30
8/24/1982,3870.60
8/25/1982,3725.40
8/26/1982,3965.70
8/27/1982,4076.90
8/30/1982,4076.90
8/31/1982,3933.30
9/1/1982,3885.30
9/2/1982,3893.50
9/3/1982,4374.70
9/6/1982,4409.70
9/7/1982,4692.10
9/8/1982,4518.60
9/9/1982,4583.70
9/10/1982,4333.40
9/13/1982,4258.10
9/14/1982,4356.20
9/15/1982,4290.60
9/16/1982,4309.90
9/17/1982,4291.60
9/20/1982,4100.50
9/21/1982,4101.10
9/22/1982,4248.10
9/23/1982,4220.00
9/24/1982,4233.00
9/27/1982,4005.70
9/28/1982,3975.70
9/29/1982,4013.00
9/30/1982,3824.80
10/1/1982,3855.70
10/4/1982,3801.20
10/5/1982,3760.90
10/6/1982,3895.40
10/7/1982,4025.00
10/8/1982,4237.40
10/11/1982,4155.70
10/12/1982,4236.10
10/13/1982,4145.70
10/14/1982,4335.70
10/15/1982,4228.20
10/18/1982,4115.10
10/19/1982,4247.30
10/20/1982,4172.80
10/21/1982,4199.50
10/22/1982,4126.20
10/25/1982,4093.60
10/26/1982,4052.70
10/27/1982,4106.40
10/28/1982,4075.50
10/29/1982,4108.40
11/1/1982,4128.80
11/2/1982,4189.00
11/3/1982,4217.50
11/4/1982,4158.60
11/5/1982,4132.60
11/8/1982,3994.40
11/9/1982,3993.30
11/10/1982,4007.60
11/11/1982,3972.60
11/12/1982,3911.20
11/15/1982,3968.30
11/16/1982,3972.50
11/17/1982,4071.30
11/18/1982,4007.40
11/19/1982,4055.20
11/22/1982,4049.70
11/23/1982,3963.30
11/24/1982,3953.90
11/25/1982,4047.00
11/26/1982,4020.10
11/29/1982,4159.70
11/30/1982,4127.60
12/1/1982,4248.20
12/2/1982,4199.00
12/3/1982,4249.30
12/6/1982,4283.80
12/7/1982,4412.20
12/8/1982,4381.10
12/9/1982,4286.50
12/10/1982,4267.90
12/13/1982,4253.00
12/14/1982,4358.30
12/15/1982,4234.90
12/16/1982,4267.70
12/17/1982,4291.10
12/20/1982,4260.90
12/21/1982,4312.20
12/22/1982,4354.90
12/23/1982,4345.20
12/24/1982,4329.70
12/27/1982,4329.70
12/28/1982,4329.70
12/29/1982,4307.20
12/30/1982,4321.80
12/31/1982,4320.00
1/3/1983,4320.00
1/4/1983,4334.20
1/5/1983,4393.90
1/6/1983,4456.00
1/7/1983,4391.00
1/10/1983,4611.80
1/11/1983,4784.70
1/12/1983,4726.50
1/13/1983,4797.20
1/14/1983,4722.70
1/17/1983,4837.60
1/18/1983,4781.90
1/19/1983,4870.60
1/20/1983,4788.10
1/21/1983,4846.30
1/24/1983,4693.70
1/25/1983,4748.70
1/26/1983,4770.10
1/27/1983,4863.30
1/28/1983,4865.50
1/31/1983,5003.50
2/1/1983,5017.50
2/2/1983,4952.50
2/3/1983,5012.10
2/4/1983,4980.60
2/7/1983,4830.00
2/8/1983,4900.30
2/9/1983,4847.30
2/10/1983,4877.30
2/11/1983,4962.20
2/14/1983,4944.80
2/15/1983,5042.90
2/16/1983,4983.60
2/17/1983,4981.60
2/18/1983,4951.70
2/21/1983,4991.00
2/22/1983,5025.70
2/23/1983,4752.90
2/24/1983,4691.60
2/25/1983,4660.40
2/28/1983,4197.00
3/1/1983,4118.90
3/2/1983,4270.10
3/3/1983,4271.40
3/4/1983,4124.80
3/7/1983,4144.00
3/8/1983,4218.50
3/9/1983,4191.70
3/10/1983,4280.70
3/11/1983,4223.80
3/14/1983,4288.40
3/15/1983,4327.50
3/16/1983,4221.70
3/17/1983,4143.80
3/18/1983,4204.90
3/21/1983,4143.60
3/22/1983,4193.70
3/23/1983,4142.90
3/24/1983,4109.70
3/25/1983,4098.20
3/28/1983,4124.30
3/29/1983,4123.10
3/30/1983,4152.70
3/31/1983,4104.30
4/1/1983,4104.30
4/4/1983,4104.30
4/5/1983,4213.10
4/6/1983,4207.20
4/7/1983,4265.50
4/8/1983,4220.20
4/11/1983,4229.40
4/12/1983,4277.40
4/13/1983,4269.50
4/14/1983,4329.60
4/15/1983,4333.50
4/18/1983,4369.00
4/19/1983,4417.30
4/20/1983,4335.80
4/21/1983,4404.20
4/22/1983,4358.90
4/25/1983,4376.80
4/26/1983,4333.10
4/27/1983,4365.50
4/28/1983,4278.20
4/29/1983,4286.40
5/2/1983,4286.40
5/3/1983,4306.70
5/4/1983,4349.90
5/5/1983,4337.80
5/6/1983,4302.90
5/9/1983,4358.30
5/10/1983,4388.40
5/11/1983,4422.00
5/12/1983,4365.90
5/13/1983,4370.80
5/16/1983,4389.20
5/17/1983,4370.00
5/18/1983,4420.60
5/19/1983,4403.40
5/20/1983,4394.60
5/23/1983,4327.20
5/24/1983,4353.90
5/25/1983,4339.70
5/26/1983,4363.10
5/27/1983,4343.50
5/30/1983,4343.50
5/31/1983,4391.80
6/1/1983,4163.50
6/2/1983,4134.70
6/3/1983,4174.30
6/6/1983,4111.10
6/7/1983,4031.90
6/8/1983,4034.30
6/9/1983,4036.00
6/10/1983,4139.30
6/13/1983,4169.30
6/14/1983,4184.70
6/15/1983,4071.60
6/16/1983,4125.10
